metro_regional_label,venue_count,median_nearest_stop_distance_m,share_within_400m_pt,late_night_share,median_maximum_capacity,sa2_count,population_2025,sa2_venue_count,median_sa2_density_per_10000,venue_count_per_10000_residents
Metro,14429,116.7397282507298,0.8888963842417701,0.2686859147328656,100.0,340,5080266.0,14428.0,20.0409726552062,28.40008771194264
Regional,7303,277.3387387367562,0.5993887253792166,0.1915327145121123,150.0,179,1967258.0,7297.0,37.69572781751402,37.0922370121255
