Longitude,Latitude,MODE
145.04753,-36.31438,REGIONAL BUS
145.36133,-36.39408,REGIONAL BUS
145.40634,-36.38382,REGIONAL BUS
145.39947,-36.37984,REGIONAL BUS
145.39976,-36.3795,REGIONAL BUS
144.95781,-36.01725,REGIONAL BUS
144.98086,-36.39707,REGIONAL BUS
144.98259,-36.44571,REGIONAL BUS
144.98244,-36.44596,REGIONAL BUS
145.01473,-36.58567,REGIONAL BUS
142.80477,-38.08069,REGIONAL BUS
144.2821,-36.76593,REGIONAL BUS
144.13206,-36.7355,REGIONAL BUS
144.13244,-36.73543,REGIONAL BUS
143.94134,-36.60167,REGIONAL BUS
143.94126,-36.60145,REGIONAL BUS
143.8693,-36.57545,REGIONAL BUS
143.86975,-36.57563,REGIONAL BUS
143.6136,-36.41815,REGIONAL BUS
143.35088,-36.26835,REGIONAL BUS
143.22577,-36.07694,REGIONAL BUS
142.84981,-35.50427,REGIONAL BUS
143.26744,-35.46978,REGIONAL BUS
143.37533,-35.67077,REGIONAL BUS
146.53842,-38.19443,REGIONAL BUS
147.06351,-38.10723,REGIONAL BUS
147.05469,-38.10323,REGIONAL BUS
147.08003,-37.96509,REGIONAL BUS
147.96189,-37.87924,REGIONAL BUS
147.98237,-37.88154,REGIONAL BUS
143.72711,-36.11661,REGIONAL BUS
143.75535,-36.22995,REGIONAL BUS
143.72712,-36.11668,REGIONAL BUS
143.92434,-35.73314,REGIONAL BUS
143.63653,-35.46382,REGIONAL BUS
143.63641,-35.46405,REGIONAL BUS
143.3773,-35.17605,REGIONAL BUS
143.37748,-35.17551,REGIONAL BUS
142.77034,-34.58479,REGIONAL BUS
143.31058,-35.05422,REGIONAL BUS
143.3107,-35.05385,REGIONAL BUS
143.89432,-37.42451,REGIONAL BUS
143.89445,-37.42455,REGIONAL BUS
143.7021,-37.17027,REGIONAL BUS
143.70238,-37.17028,REGIONAL BUS
143.81309,-37.04905,REGIONAL BUS
143.81309,-37.04897,REGIONAL BUS
144.26098,-36.99683,REGIONAL BUS
144.26063,-36.99693,REGIONAL BUS
144.14104,-37.34271,REGIONAL BUS
144.04224,-37.36722,REGIONAL BUS
144.04189,-37.36728,REGIONAL BUS
143.9945,-37.40177,REGIONAL BUS
143.99439,-37.40168,REGIONAL BUS
145.56842,-36.7494,REGIONAL BUS
146.39406,-36.01028,REGIONAL BUS
146.39387,-36.01028,REGIONAL BUS
146.31717,-36.35507,REGIONAL BUS
145.82282,-38.43088,REGIONAL BUS
145.94789,-38.47714,REGIONAL BUS
146.67476,-38.56485,REGIONAL BUS
