date,mode,trips_millions
2025-12-01,Train,14.89
2026-01-01,Train,14.26
2018-01-01,Tram,15.23
2018-02-01,Tram,16.98
2018-03-01,Tram,19.83
2018-04-01,Tram,16.92
2018-05-01,Tram,17.69
2018-06-01,Tram,15.84
2018-07-01,Tram,17.17
2018-08-01,Tram,18.42
2018-09-01,Tram,15.89
2018-10-01,Tram,18.68
2018-11-01,Tram,17.4
2018-12-01,Tram,15.4
2019-01-01,Tram,15.7
2019-02-01,Tram,16.48
2019-03-01,Tram,19.46
2019-04-01,Tram,17.4
2019-05-01,Tram,18.41
2019-06-01,Tram,15.04
2019-07-01,Tram,16.78
2019-08-01,Tram,17.58
2019-09-01,Tram,15.73
2019-10-01,Tram,16.92
2019-11-01,Tram,15.34
2019-12-01,Tram,13.74
2020-01-01,Tram,13.4
2020-02-01,Tram,14.66
2020-03-01,Tram,9.6
2020-04-01,Tram,1.38
2020-05-01,Tram,2.59
2020-06-01,Tram,4.08
2020-07-01,Tram,2.51
2020-08-01,Tram,1.22
2020-09-01,Tram,1.25
2020-10-01,Tram,2.13
2020-11-01,Tram,4.51
2020-12-01,Tram,6.0
2021-01-01,Tram,5.55
2021-02-01,Tram,5.88
2021-03-01,Tram,8.75
2021-04-01,Tram,9.12
2021-05-01,Tram,8.76
2021-06-01,Tram,4.56
2021-07-01,Tram,5.09
2021-08-01,Tram,2.69
2021-09-01,Tram,1.91
2021-10-01,Tram,3.1
2021-11-01,Tram,7.03
2021-12-01,Tram,8.36
2022-01-01,Tram,5.37
2022-02-01,Tram,7.96
2022-03-01,Tram,11.61
2022-04-01,Tram,10.07
2022-05-01,Tram,10.15
2022-06-01,Tram,9.59
2022-07-01,Tram,11.13
2022-08-01,Tram,12.36
2022-09-01,Tram,11.79
2022-10-01,Tram,12.08
2022-11-01,Tram,12.14
2022-12-01,Tram,10.95
2023-01-01,Tram,12.25
2023-02-01,Tram,12.89
2023-03-01,Tram,15.29
2023-04-01,Tram,12.4
2023-05-01,Tram,12.76
2023-06-01,Tram,11.6
2023-07-01,Tram,12.34
2023-08-01,Tram,13.28
2023-09-01,Tram,12.15
2023-10-01,Tram,12.45
2023-11-01,Tram,12.5
2023-12-01,Tram,12.17
2024-01-01,Tram,11.82
2024-02-01,Tram,13.43
2024-03-01,Tram,14.84
2024-04-01,Tram,14.24
2024-05-01,Tram,13.91
2024-06-01,Tram,11.66
2024-07-01,Tram,13.02
2024-08-01,Tram,13.71
2024-09-01,Tram,11.7
2024-10-01,Tram,14.58
2024-11-01,Tram,13.55
2024-12-01,Tram,13.1
2025-01-01,Tram,12.52
2025-02-01,Tram,13.06
2025-03-01,Tram,15.3
2025-04-01,Tram,13.41
2025-05-01,Tram,14.44
2025-06-01,Tram,11.79
2025-07-01,Tram,12.65
2025-08-01,Tram,12.23
2025-09-01,Tram,11.52
2025-10-01,Tram,12.4
2025-11-01,Tram,12.27
2025-12-01,Tram,12.07
