venue_category_group,Latitude,Longitude,metro_regional_label,sa2_code_2021,nearest_stop_distance_m,distance_band,distance_band_order,access_class,late_night_flag
BYO permit,-36.86233,144.5053,Regional,202021026,10419.3,800m+,4,low_access_800m_plus,False
BYO permit,-37.76498,145.35824,Metro,211051278,122.7,0-200m,1,high_access_0_400m,False
BYO permit,-37.8252,145.03616,Metro,207011520,182.3,0-200m,1,high_access_0_400m,False
BYO permit,-37.05841,142.77301,Regional,215011392,27.8,0-200m,1,high_access_0_400m,False
BYO permit,-37.75674,144.96479,Metro,206011495,139.8,0-200m,1,high_access_0_400m,False
BYO permit,-37.74445,144.85962,Metro,210011534,163.1,0-200m,1,high_access_0_400m,False
BYO permit,-36.86422,147.27648,Regional,204031069,21754.3,800m+,4,low_access_800m_plus,False
BYO permit,-36.86422,147.27648,Regional,204031069,21754.3,800m+,4,low_access_800m_plus,False
BYO permit,-38.44913,145.23404,Regional,205031091,793.6,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.76806,145.10636,Metro,207021160,165.7,0-200m,1,high_access_0_400m,False
BYO permit,-38.37715,145.12381,Metro,214021379,541.2,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.80039,144.98232,Metro,206071142,230.6,200-400m,2,high_access_0_400m,False
BYO permit,-37.94572,144.99704,Metro,208011173,435.3,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.88791,144.98302,Metro,206051129,582.3,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.73475,144.43492,Regional,201021009,6028.7,800m+,4,low_access_800m_plus,False
BYO permit,-37.84423,144.8856,Metro,213021344,158.1,0-200m,1,high_access_0_400m,False
BYO permit,-37.75237,145.001,Metro,206021112,69.6,0-200m,1,high_access_0_400m,False
BYO permit,-36.99498,147.15139,Regional,204031069,456.7,400-800m,3,moderate_access_400_800m,False
BYO permit,-36.6881,147.14097,Regional,204031069,81.5,0-200m,1,high_access_0_400m,False
BYO permit,-38.43735,143.2878,Regional,217031473,27275.0,800m+,4,low_access_800m_plus,False
BYO permit,-36.86507,147.2769,Regional,204031069,21878.0,800m+,4,low_access_800m_plus,False
BYO permit,-36.86507,147.2769,Regional,204031069,21878.0,800m+,4,low_access_800m_plus,False
BYO permit,-37.81093,145.00036,Metro,206071518,26.8,0-200m,1,high_access_0_400m,False
BYO permit,-37.76206,145.12423,Metro,207021160,490.8,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.84285,144.95197,Metro,206051128,135.5,0-200m,1,high_access_0_400m,False
BYO permit,-38.16912,145.14868,Metro,214011371,376.4,200-400m,2,high_access_0_400m,False
BYO permit,-36.98403,147.14433,Regional,204031069,340.7,200-400m,2,high_access_0_400m,False
BYO permit,-36.86561,147.27389,Regional,204031069,21743.5,800m+,4,low_access_800m_plus,False
BYO permit,-36.86561,147.27389,Regional,204031069,21743.5,800m+,4,low_access_800m_plus,False
BYO permit,-37.80868,145.24752,Metro,211031267,551.1,400-800m,3,moderate_access_400_800m,False
BYO permit,-36.98403,147.14433,Regional,204031069,340.7,200-400m,2,high_access_0_400m,False
BYO permit,-37.14824,146.44539,Regional,204011057,34784.8,800m+,4,low_access_800m_plus,False
BYO permit,-36.98404,147.1444,Regional,204031069,347.2,200-400m,2,high_access_0_400m,False
BYO permit,-36.98403,147.14433,Regional,204031069,340.7,200-400m,2,high_access_0_400m,False
BYO permit,-37.84549,144.9776,Metro,206051128,177.7,0-200m,1,high_access_0_400m,False
BYO permit,-37.84004,146.26549,Regional,205011077,38136.6,800m+,4,low_access_800m_plus,False
BYO permit,-37.83887,146.26299,Regional,205011077,37962.0,800m+,4,low_access_800m_plus,False
BYO permit,-37.80059,145.08349,Metro,207011148,11.6,0-200m,1,high_access_0_400m,False
BYO permit,-37.14809,146.44572,Regional,204011057,34825.6,800m+,4,low_access_800m_plus,False
BYO permit,-37.14692,146.45244,Regional,204011057,35591.4,800m+,4,low_access_800m_plus,False
BYO permit,-38.33546,144.96981,Metro,214021377,619.3,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.84095,146.26703,Regional,205011077,38270.8,800m+,4,low_access_800m_plus,False
BYO permit,-36.98635,147.14706,Regional,204031069,782.4,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.148,146.45364,Regional,204011057,35683.9,800m+,4,low_access_800m_plus,False
BYO permit,-36.99498,147.15139,Regional,204031069,456.7,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.14682,146.45494,Regional,204011057,35864.4,800m+,4,low_access_800m_plus,False
BYO permit,-36.99498,147.15139,Regional,204031069,456.7,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.14531,146.44678,Regional,204011057,35037.7,800m+,4,low_access_800m_plus,False
BYO permit,-37.7652,144.90509,Metro,206031116,76.5,0-200m,1,high_access_0_400m,False
BYO permit,-37.78506,145.38,Metro,211051283,154.4,0-200m,1,high_access_0_400m,False
BYO permit,-37.76296,144.85771,Metro,210011533,183.4,0-200m,1,high_access_0_400m,False
BYO permit,-36.99498,147.15139,Regional,204031069,456.7,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.74034,145.09248,Metro,209011203,217.2,200-400m,2,high_access_0_400m,False
BYO permit,-36.98635,147.14706,Regional,204031069,782.4,400-800m,3,moderate_access_400_800m,False
BYO permit,-36.86407,147.28078,Regional,204031069,22025.2,800m+,4,low_access_800m_plus,False
BYO permit,-36.86407,147.28078,Regional,204031069,22025.2,800m+,4,low_access_800m_plus,False
BYO permit,-38.47979,145.02442,Metro,214021378,1123.5,800m+,4,low_access_800m_plus,False
BYO permit,-36.98635,147.14706,Regional,204031069,782.4,400-800m,3,moderate_access_400_800m,False
BYO permit,-36.8644,147.28041,Regional,204031069,22036.7,800m+,4,low_access_800m_plus,False
BYO permit,-36.8644,147.28041,Regional,204031069,22036.7,800m+,4,low_access_800m_plus,False
BYO permit,-37.94106,145.03162,Metro,208011172,208.7,200-400m,2,high_access_0_400m,False
BYO permit,-37.90501,145.00304,Metro,208011169,36.5,0-200m,1,high_access_0_400m,False
BYO permit,-37.97935,145.21216,Metro,212041563,374.1,200-400m,2,high_access_0_400m,False
BYO permit,-37.90273,145.13217,Metro,212051567,362.9,200-400m,2,high_access_0_400m,False
BYO permit,-37.94278,145.15686,Metro,212041317,359.2,200-400m,2,high_access_0_400m,False
BYO permit,-37.90481,145.33119,Metro,211051284,90.8,0-200m,1,high_access_0_400m,False
BYO permit,-38.28551,145.02411,Metro,214021382,468.0,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.85316,145.29988,Metro,211011449,198.1,0-200m,1,high_access_0_400m,False
BYO permit,-37.14565,146.45414,Regional,204011057,35817.7,800m+,4,low_access_800m_plus,False
BYO permit,-37.74533,144.97779,Metro,206011497,106.7,0-200m,1,high_access_0_400m,False
BYO permit,-37.84019,145.07194,Metro,207011149,415.3,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.85836,145.20873,Metro,211011259,231.0,200-400m,2,high_access_0_400m,False
BYO permit,-37.88616,145.115,Metro,212051324,393.2,200-400m,2,high_access_0_400m,False
BYO permit,-37.87313,145.41058,Metro,211051279,427.9,400-800m,3,moderate_access_400_800m,False
BYO permit,-38.37015,145.01227,Metro,214021378,7101.0,800m+,4,low_access_800m_plus,False
BYO permit,-38.00214,145.17432,Metro,212041566,103.2,0-200m,1,high_access_0_400m,False
BYO permit,-38.37109,144.81372,Metro,214021383,290.0,200-400m,2,high_access_0_400m,False
BYO permit,-37.84046,146.26632,Regional,205011077,38198.7,800m+,4,low_access_800m_plus,False
BYO permit,-37.94277,145.03851,Metro,208031191,256.6,200-400m,2,high_access_0_400m,False
BYO permit,-37.728,145.06949,Metro,209011203,155.7,0-200m,1,high_access_0_400m,False
BYO permit,-38.34938,141.60331,Regional,217011422,123.8,0-200m,1,high_access_0_400m,False
BYO permit,-37.75317,145.138,Metro,207021159,270.5,200-400m,2,high_access_0_400m,False
BYO permit,-38.09141,144.3352,Regional,203021486,44.7,0-200m,1,high_access_0_400m,False
BYO permit,-37.71325,145.04475,Metro,209021205,47.3,0-200m,1,high_access_0_400m,False
BYO permit,-36.86403,147.2814,Regional,204031069,22062.3,800m+,4,low_access_800m_plus,False
BYO permit,-36.86403,147.2814,Regional,204031069,22062.3,800m+,4,low_access_800m_plus,False
BYO permit,-37.77383,144.99885,Metro,206021499,44.4,0-200m,1,high_access_0_400m,False
BYO permit,-37.81347,145.34375,Metro,211051280,343.7,200-400m,2,high_access_0_400m,False
BYO permit,-38.16201,144.55356,Regional,203031048,110.5,0-200m,1,high_access_0_400m,False
BYO permit,-37.84072,145.04868,Metro,207011152,362.4,200-400m,2,high_access_0_400m,False
BYO permit,-37.14824,146.44539,Regional,204011057,34784.8,800m+,4,low_access_800m_plus,False
BYO permit,-37.14733,146.45433,Regional,204011057,35780.8,800m+,4,low_access_800m_plus,False
BYO permit,-37.88124,145.29607,Metro,211011447,111.6,0-200m,1,high_access_0_400m,False
BYO permit,-36.86496,147.27764,Regional,204031069,21914.9,800m+,4,low_access_800m_plus,False
BYO permit,-36.86496,147.27764,Regional,204031069,21914.9,800m+,4,low_access_800m_plus,False
BYO permit,-37.81103,144.89914,Metro,213031348,83.8,0-200m,1,high_access_0_400m,False
BYO permit,-38.09775,144.35001,Regional,203021488,528.3,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.82267,145.08923,Metro,207011155,225.7,200-400m,2,high_access_0_400m,False
BYO permit,-37.83097,145.06958,Metro,207011149,46.4,0-200m,1,high_access_0_400m,False
BYO permit,-37.78018,145.24608,Metro,211031265,362.7,200-400m,2,high_access_0_400m,False
BYO permit,-37.67099,145.06484,Metro,209041221,177.7,0-200m,1,high_access_0_400m,False
BYO permit,-37.8684,145.1605,Metro,212051322,456.1,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.83507,145.25561,Metro,211031267,915.6,800m+,4,low_access_800m_plus,False
BYO permit,-37.86923,145.27747,Metro,211011447,332.9,200-400m,2,high_access_0_400m,False
BYO permit,-37.62909,145.2785,Metro,209031212,9527.6,800m+,4,low_access_800m_plus,False
BYO permit,-38.42617,144.17773,Regional,203031049,866.5,800m+,4,low_access_800m_plus,False
BYO permit,-37.71546,145.106,Metro,209011197,379.3,200-400m,2,high_access_0_400m,False
BYO permit,-37.89088,144.99364,Metro,208011169,210.6,200-400m,2,high_access_0_400m,False
BYO permit,-37.70208,145.17776,Metro,209031214,219.3,200-400m,2,high_access_0_400m,False
BYO permit,-38.23746,145.05278,Metro,214021591,367.6,200-400m,2,high_access_0_400m,False
BYO permit,-38.09061,144.33639,Regional,203021488,196.6,0-200m,1,high_access_0_400m,False
BYO permit,-37.7906,145.08329,Metro,207011148,259.2,200-400m,2,high_access_0_400m,False
BYO permit,-35.60842,143.80065,Regional,215031401,137.2,0-200m,1,high_access_0_400m,False
BYO permit,-38.09659,144.35178,Regional,203021488,448.6,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.81007,145.15106,Metro,207031161,115.9,0-200m,1,high_access_0_400m,False
BYO permit,-37.69918,145.01554,Metro,209021523,441.0,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.73344,145.02363,Metro,209021428,136.3,0-200m,1,high_access_0_400m,False
BYO permit,-38.43355,145.82557,Regional,205031089,54.1,0-200m,1,high_access_0_400m,False
BYO permit,-37.7189,145.03421,Metro,209021205,283.1,200-400m,2,high_access_0_400m,False
BYO permit,-37.6035,145.2691,Metro,209031212,9711.4,800m+,4,low_access_800m_plus,False
BYO permit,-37.70544,145.06476,Metro,209011196,65.8,0-200m,1,high_access_0_400m,False
BYO permit,-37.79743,145.28214,Metro,211031450,213.7,200-400m,2,high_access_0_400m,False
BYO permit,-37.85311,145.05397,Metro,208041194,147.1,0-200m,1,high_access_0_400m,False
