sa2_code_2021,sa2_name_2021,venue_count,median_nearest_stop_distance_m,share_within_400m_pt,late_night_share,after_11pm_share,median_maximum_capacity,median_stops_within_200m,median_stops_within_400m,median_stops_within_800m,metro_regional_majority,category_restaurant_cafe_count,category_general_count,category_on_premises_count,category_packaged_liquor_count,category_limited_count,urp,irsad_score,irsad_aus_decile,irsd_score,ieo_score,ier_score,population_2025,population_density_denominator_status,venue_count_per_10000_residents,access_share_pct,seifa_decile_group,density_rank_valid_only,access_rank_valid_only
206051514,St Kilda - West,174.0,79.7685925152054,0.9774011299435028,0.5310734463276836,0.5310734463276836,122.5,4.0,10.0,32.0,Metro,59.0,13.0,33.0,6.0,27.0,13858.0,1090.969375,9.0,1051.681882,1137.413353,916.0472950999999,16298.0,valid,106.76156583629894,97.74011299435028,high_8_10,33,113
206061135,Armadale,67.0,45.814545839380536,1.0,0.2835820895522388,0.2835820895522388,80.0,4.0,10.0,43.0,Metro,39.0,7.0,5.0,3.0,11.0,9336.0,1130.3043010000001,10.0,1088.849208,1167.4757769999999,987.2631741,10032.0,valid,66.78628389154704,100.0,high_8_10,68,1
206061136,Prahran - Windsor,243.0,78.52090114849665,1.0,0.47368421052631576,0.47368421052631576,96.5,4.0,13.0,47.0,Metro,92.0,16.0,47.0,12.0,31.0,19119.0,1123.413072,10.0,1075.863969,1153.871345,940.9777631000001,21112.0,valid,115.10041682455476,100.0,high_8_10,25,1
206061138,Toorak,40.0,67.37010400104158,0.95,0.25,0.25,82.0,2.0,9.0,28.0,Metro,13.0,3.0,1.0,4.0,6.0,12953.0,1149.721382,10.0,1104.407271,1176.825595,1034.949906,13610.0,valid,29.390154298310065,95.0,high_8_10,231,143
206061515,South Yarra - North,77.0,121.96807539004044,1.0,0.2,0.2,92.0,4.0,16.0,34.0,Metro,34.0,4.0,10.0,6.0,14.0,11192.0,1142.23039,10.0,1090.427398,1188.3854359999998,904.6291408,13779.0,valid,55.8821394876261,100.0,high_8_10,98,1
206061516,South Yarra - South,109.0,83.68339035573581,1.0,0.47863247863247865,0.47863247863247865,80.0,5.0,12.0,37.0,Metro,59.0,6.0,11.0,5.0,9.0,9939.0,1093.9409130000001,9.0,1030.256844,1136.3899319999998,910.5684697,10440.0,valid,104.40613026819922,100.0,high_8_10,35,1
206071139,Abbotsford,87.0,100.3870740337559,0.9310344827586207,0.3448275862068966,0.3448275862068966,100.0,2.0,7.0,40.0,Metro,23.0,10.0,17.0,8.0,11.0,9088.0,1127.1147310000001,10.0,1077.085689,1162.826928,951.2176596999999,10316.0,valid,84.33501357115162,93.10344827586206,high_8_10,46,163
206071140,Carlton North - Princes Hill,55.0,82.5550921801187,0.9818181818181818,0.16363636363636364,0.16363636363636364,62.5,2.0,9.0,34.0,Metro,22.0,7.0,2.0,7.0,14.0,8186.0,1135.455693,10.0,1086.918761,1168.98203,968.8925744000001,8828.0,valid,62.30176710466697,98.18181818181819,high_8_10,78,105
206071141,Collingwood,145.0,129.62586979369928,0.9310344827586207,0.4413793103448276,0.4413793103448276,86.0,2.0,6.0,25.0,Metro,48.0,21.0,23.0,6.0,26.0,9179.0,1045.1247950000002,7.0,961.8584353,1109.224519,864.2250161000001,11383.0,valid,127.38293947114117,93.10344827586206,middle_4_7,21,163
206071142,Fitzroy,236.0,84.58280123306406,1.0,0.5677966101694916,0.5677966101694916,87.0,3.0,8.0,31.0,Metro,86.0,30.0,40.0,16.0,21.0,10431.0,1065.855679,8.0,978.8306873,1124.735498,884.1488096,12135.0,valid,194.47878038730943,100.0,high_8_10,11,1
206071143,Fitzroy North,68.0,57.79166390616815,1.0,0.3235294117647059,0.3235294117647059,75.0,4.0,9.0,32.0,Metro,27.0,14.0,7.0,4.0,8.0,12781.0,1125.161684,10.0,1066.295397,1171.1454970000002,961.9020757000001,13749.0,valid,49.45814241035712,100.0,high_8_10,119,1
206071145,Clifton Hill - Alphington,37.0,239.24243306680862,0.7297297297297297,0.21621621621621623,0.21621621621621623,75.0,0.0,4.0,20.0,Metro,12.0,2.0,4.0,1.0,12.0,9855.0,1143.273394,10.0,1094.355915,1174.59906,1026.127159,11419.0,valid,32.402136789561254,72.97297297297297,high_8_10,213,342
206071517,Richmond (South) - Cremorne,214.0,83.55886458653163,0.96875,0.4017857142857143,0.4017857142857143,93.5,3.0,12.0,33.0,Metro,91.0,30.0,28.0,9.0,29.0,17671.0,1157.5058769999998,10.0,1105.849271,1173.341502,983.5446055,19225.0,valid,111.31339401820546,96.875,high_8_10,29,122
206071518,Richmond - North,79.0,108.43012399467582,0.8888888888888888,0.2839506172839506,0.2839506172839506,110.0,2.0,7.0,21.0,Metro,31.0,11.0,9.0,9.0,4.0,13867.0,1048.083664,8.0,976.8882926,1101.2063580000001,886.9383048000001,15303.0,valid,51.62386460171208,88.88888888888889,high_8_10,111,214
201011001,Alfredton,23.0,229.50736168798613,0.782608695652174,0.043478260869565216,0.043478260869565216,115.0,0.0,3.0,6.0,Regional,3.0,3.0,1.0,5.0,7.0,16835.0,1010.8530569999999,6.0,1034.7241789999998,1009.718885,1035.9940749999998,20825.0,valid,11.044417767106843,78.26086956521739,middle_4_7,411,315
201011002,Ballarat,158.0,123.43286737246163,0.9538461538461539,0.3333333333333333,0.3333333333333333,104.5,2.0,7.0,23.0,Regional,64.0,24.0,15.0,10.0,22.0,12131.0,1039.8986869999999,7.0,1042.0690379999999,1075.750257,978.4122774,11668.0,valid,135.41309564621187,95.38461538461539,middle_4_7,19,138
201011005,Buninyong,15.0,337.8882464406674,0.6,0.13333333333333333,0.13333333333333333,100.0,0.0,3.0,10.0,Regional,4.0,2.0,1.0,1.0,3.0,7261.0,1040.4715130000002,7.0,1068.115125,1049.966027,1052.5396640000001,7384.0,valid,20.314192849404115,60.0,middle_4_7,301,391
201011006,Delacombe,12.0,272.1303038211165,0.5833333333333334,0.25,0.25,170.5,0.0,2.0,6.0,Regional,3.0,2.0,2.0,2.0,2.0,10661.0,946.6715299,3.0,982.1979459,936.6763072,1006.2425649999999,15255.0,valid,7.866273352999017,58.333333333333336,low_1_3,440,398
201011007,Smythes Creek,4.0,788.4752047319756,0.42857142857142855,0.0,0.0,,0.0,0.0,1.0,Regional,0.0,0.0,0.0,1.0,2.0,4230.0,1004.772211,6.0,1055.321613,959.5235598,1090.7941660000001,4250.0,valid,9.411764705882353,42.857142857142854,middle_4_7,427,457
201011008,Wendouree - Miners Rest,31.0,110.50329932613243,0.7142857142857143,0.14285714285714285,0.14285714285714285,224.0,2.0,3.0,11.0,Regional,3.0,1.0,2.0,7.0,8.0,15333.0,886.275336,1.0,910.4242575000001,887.6092012,917.0160139999999,15548.0,valid,19.9382557242089,71.42857142857143,low_1_3,308,348
201011481,Ballarat East - Warrenheip,25.0,300.8612031647407,0.64,0.2,0.2,150.0,0.0,4.0,10.0,Regional,2.0,8.0,3.0,2.0,6.0,9691.0,940.1035727000001,3.0,958.7253929999999,971.1440447,928.5231706,9771.0,valid,25.585917511001945,64.0,low_1_3,252,376
201011482,Ballarat North - Invermay,29.0,285.8253633236143,0.8275862068965517,0.3793103448275862,0.3793103448275862,200.0,0.0,4.0,10.0,Regional,7.0,7.0,3.0,1.0,4.0,14750.0,1014.682006,6.0,1034.273066,1025.9288669999999,1006.754916,15204.0,valid,19.07392791370692,82.75862068965517,middle_4_7,322,279
201011483,Canadian - Mount Clear,28.0,172.4496173569274,0.84375,0.1875,0.1875,134.5,1.0,4.0,10.5,Regional,6.0,3.0,4.0,3.0,7.0,12225.0,963.0631877,4.0,979.6761549,986.6080000999999,945.6053162000001,12518.0,valid,22.36779038185014,84.375,middle_4_7,284,267
201011484,Sebastopol - Redan,18.0,138.51915372313772,0.8333333333333334,0.16666666666666666,0.16666666666666666,452.5,1.0,4.0,12.0,Regional,0.0,3.0,4.0,6.0,4.0,13086.0,860.5844506,1.0,881.0807176999999,888.0017251,876.5116348,12766.0,valid,14.099953000156667,83.33333333333334,low_1_3,365,275
201021009,Bacchus Marsh Surrounds,23.0,7104.201682713281,0.13793103448275862,0.2413793103448276,0.2413793103448276,187.0,0.0,0.0,0.0,Regional,3.0,6.0,1.0,1.0,6.0,6559.0,987.8611687,5.0,1022.058595,966.7453663,1041.367783,6770.0,valid,33.97341211225997,13.793103448275861,middle_4_7,198,504
201021010,Creswick - Clunes,45.0,270.40474824498494,0.5294117647058824,0.27450980392156865,0.27450980392156865,153.0,0.0,2.0,2.0,Regional,5.0,9.0,4.0,2.0,10.0,8085.0,955.121678,4.0,985.5240483,961.9451097,992.6644428,8038.0,valid,55.98407564070664,52.94117647058824,middle_4_7,97,420
201021011,Daylesford,116.0,449.01544587559306,0.4574898785425101,0.145748987854251,0.145748987854251,100.0,0.0,0.0,1.0,Regional,27.0,24.0,5.0,4.0,22.0,9955.0,1010.686629,6.0,1027.855275,1044.76989,1013.723454,10342.0,valid,112.16399149100755,45.74898785425101,middle_4_7,27,445
201021012,Gordon (Vic.),22.0,530.7925170470845,0.4074074074074074,0.37037037037037035,0.37037037037037035,120.0,0.0,0.0,2.0,Regional,1.0,7.0,4.0,0.0,7.0,6372.0,1001.359164,6.0,1036.5468190000001,987.7284161,1051.376916,6557.0,valid,33.55192923593106,40.74074074074074,middle_4_7,202,466
201031013,Avoca,53.0,6394.732556895769,0.18867924528301888,0.07547169811320754,0.07547169811320754,187.0,0.0,0.0,0.0,Regional,0.0,8.0,0.0,2.0,12.0,3532.0,918.1866573,2.0,946.5651034,930.4440748999999,965.2768404,3609.0,valid,146.85508451094486,18.867924528301888,low_1_3,17,501
201031014,Beaufort,17.0,900.926221383497,0.5,0.2777777777777778,0.2777777777777778,100.0,0.0,0.5,1.0,Regional,2.0,4.0,2.0,1.0,6.0,4644.0,939.4164039999999,3.0,969.1237593,939.7369138,993.7824537,4816.0,valid,35.29900332225914,50.0,low_1_3,193,425
201031015,Golden Plains - North,12.0,263.4905897544213,0.5333333333333333,0.13333333333333333,0.13333333333333333,100.0,0.0,1.0,2.0,Regional,0.0,5.0,0.0,1.0,3.0,4894.0,954.6662909,4.0,997.0173714,939.4035733000001,1028.005208,5021.0,valid,23.899621589324838,53.333333333333336,middle_4_7,272,419
201031016,Maryborough (Vic.),28.0,124.94162498680123,0.9666666666666667,0.16666666666666666,0.16666666666666666,200.0,2.0,6.5,20.0,Regional,4.0,4.0,1.0,7.0,6.0,8160.0,854.3126423,1.0,879.0319869,856.0919459,894.5939357999999,8229.0,valid,34.02600558998663,96.66666666666667,low_1_3,197,123
201031017,Maryborough Surrounds,24.0,685.0881483554207,0.41935483870967744,0.0967741935483871,0.0967741935483871,200.0,0.0,0.0,2.0,Regional,2.0,6.0,1.0,2.0,8.0,5526.0,886.0925839,1.0,924.6902376,892.8394659999999,962.3357255,5714.0,valid,42.002100105005255,41.935483870967744,low_1_3,145,464
202011018,Bendigo,156.0,124.68368015926174,0.9811320754716981,0.389937106918239,0.389937106918239,120.0,1.0,4.0,18.0,Regional,56.0,21.0,16.0,8.0,26.0,14929.0,917.5876096,2.0,918.8578536,957.3624621,899.6506034,14457.0,valid,107.90620460676489,98.11320754716981,low_1_3,30,106
202011019,California Gully - Eaglehawk,19.0,128.93596486030455,0.85,0.25,0.25,200.0,2.0,4.0,17.0,Regional,0.0,5.0,0.0,2.0,8.0,12949.0,887.5139834,1.0,911.8779589999999,889.7115275,939.7242056,13523.0,valid,14.050136803963618,85.0,low_1_3,366,259
202011020,East Bendigo - Kennington,29.0,171.11148182775858,0.8,0.22857142857142856,0.22857142857142856,172.0,1.0,4.0,10.0,Regional,2.0,4.0,0.0,5.0,9.0,13988.0,986.486401,5.0,1002.2746189999999,1011.1964250000001,964.1685443,13941.0,valid,20.801951079549532,80.0,middle_4_7,299,300
202011021,Flora Hill - Spring Gully,11.0,67.18099866712964,1.0,0.25,0.25,150.0,2.0,3.5,13.0,Regional,2.0,3.0,0.0,0.0,3.0,9437.0,980.540213,5.0,993.3515206,1025.47078,943.3021608,9534.0,valid,11.537654709460876,100.0,middle_4_7,402,1
207011146,Ashburton (Vic.),25.0,96.99552230865525,0.96,0.16,0.16,50.0,2.0,7.0,17.0,Metro,11.0,1.0,0.0,3.0,2.0,7952.0,1125.857939,10.0,1081.6467930000001,1138.245797,1070.364488,8471.0,valid,29.512454255695904,96.0,high_8_10,227,129
207011147,Balwyn,52.0,94.75854311034672,0.9807692307692307,0.07692307692307693,0.07692307692307693,62.0,2.0,6.0,18.0,Metro,25.0,0.0,2.0,8.0,5.0,16163.0,1108.842189,9.0,1063.8310869999998,1141.501772,1039.6654460000002,16868.0,valid,30.827602561062367,98.07692307692307,high_8_10,219,107
202011022,Kangaroo Flat - Golden Square,38.0,89.95926987158501,0.9473684210526315,0.21052631578947367,0.21052631578947367,313.0,2.0,4.0,14.5,Regional,4.0,7.0,2.0,8.0,12.0,21043.0,920.7503375,2.0,951.6009899000001,922.6046064,947.6095336000001,21369.0,valid,17.78276943235528,94.73684210526315,low_1_3,334,147
207011148,Balwyn North,45.0,73.47914262322998,0.9333333333333333,0.1111111111111111,0.1111111111111111,60.0,2.0,5.0,17.0,Metro,14.0,0.0,0.0,9.0,15.0,21123.0,1115.19079,10.0,1075.439172,1126.504602,1077.91077,22454.0,valid,20.0409726552062,93.33333333333333,high_8_10,306,159
202011023,Maiden Gully,8.0,340.61276264972105,0.5,0.125,0.125,180.0,0.0,0.5,1.0,Regional,0.0,1.0,0.0,1.0,4.0,5518.0,1024.217347,7.0,1071.784851,986.9278132000001,1090.794649,5869.0,valid,13.630942238882264,50.0,middle_4_7,372,425
202011024,Strathfieldsaye,13.0,413.14740804040935,0.46153846153846156,0.3076923076923077,0.3076923076923077,322.0,0.0,0.0,3.0,Regional,0.0,2.0,2.0,1.0,5.0,10719.0,1049.7562130000001,8.0,1078.5649700000001,1035.207304,1092.689497,11705.0,valid,11.106364801366938,46.15384615384615,high_8_10,410,442
202011025,White Hills - Ascot,22.0,160.74154634964998,0.6818181818181818,0.18181818181818182,0.18181818181818182,304.0,2.0,2.0,7.5,Regional,2.0,2.0,4.0,5.0,4.0,14446.0,961.3495476,4.0,996.8129458,954.3056244,1012.333412,16095.0,valid,13.668841255048152,68.18181818181817,middle_4_7,371,361
202021026,Bendigo Surrounds - South,26.0,3871.2597537813326,0.05714285714285714,0.11428571428571428,0.11428571428571428,242.0,0.0,0.0,0.0,Regional,1.0,2.0,1.0,0.0,9.0,8344.0,1024.613951,7.0,1068.322149,995.7203218,1090.7217030000002,9094.0,valid,28.590279305036287,5.714285714285714,middle_4_7,237,509
202021027,Castlemaine,62.0,212.37126848507205,0.8870967741935484,0.1935483870967742,0.1935483870967742,100.0,0.0,2.5,9.0,Regional,16.0,15.0,4.0,7.0,12.0,11352.0,984.3956667,5.0,997.9139565,1037.038824,971.1904553999999,11640.0,valid,53.264604810996566,88.70967741935483,middle_4_7,102,224
202021028,Castlemaine Surrounds,72.0,1042.8443878432727,0.425,0.0875,0.0875,110.0,0.0,0.0,0.0,Regional,4.0,11.0,2.0,3.0,16.0,9225.0,991.6628175999999,5.0,1021.2760179999999,1016.26611,1021.3494059999999,9675.0,valid,74.4186046511628,42.5,middle_4_7,52,463
202021029,Heathcote,61.0,1570.994001854006,0.3108108108108108,0.04054054054054054,0.04054054054054054,100.0,0.0,0.0,0.0,Regional,3.0,8.0,1.0,3.0,6.0,5062.0,932.1261662,3.0,964.6306176999999,931.1598978000001,988.6375845,5382.0,valid,113.34076551467857,31.08108108108108,low_1_3,26,488
207011149,Camberwell,78.0,77.830488398493,0.9230769230769231,0.07692307692307693,0.07692307692307693,73.5,3.0,6.5,22.0,Metro,35.0,2.0,0.0,8.0,14.0,21232.0,1137.165986,10.0,1096.586184,1156.3445769999998,1067.584605,22052.0,valid,35.37094141120986,92.3076923076923,high_8_10,191,176
202021030,Kyneton,69.0,186.03818573685604,0.7222222222222222,0.1527777777777778,0.1527777777777778,95.0,1.0,3.0,11.0,Regional,19.0,10.0,4.0,7.0,11.0,10562.0,1018.551695,6.0,1036.066981,1028.499478,1037.4299290000001,10665.0,valid,64.69760900140646,72.22222222222221,middle_4_7,75,345
202021031,Woodend,41.0,194.65480789331045,0.6585365853658537,0.14634146341463414,0.14634146341463414,78.0,1.0,1.0,4.0,Regional,9.0,5.0,3.0,2.0,9.0,7949.0,1064.1262259999999,8.0,1065.173343,1077.651335,1070.11705,8084.0,valid,50.71746660069273,65.85365853658537,high_8_10,115,370
202031032,Bendigo Surrounds - North,20.0,787.1386829234002,0.4,0.08,0.08,113.0,0.0,0.0,1.0,Regional,0.0,6.0,0.0,1.0,8.0,4934.0,952.4541832,4.0,995.1012165,937.1651638000001,1022.252243,5505.0,valid,36.330608537693,40.0,middle_4_7,180,468
202031033,Loddon,59.0,471.43586788890053,0.4536082474226804,0.1134020618556701,0.1134020618556701,196.0,0.0,0.0,2.0,Regional,1.0,14.0,1.0,4.0,19.0,7289.0,924.7729118000001,2.0,947.1096165,942.5258324,963.928524,7231.0,valid,81.59314064444753,45.36082474226804,low_1_3,48,449
203011034,Bannockburn,18.0,561.0546844173338,0.3125,0.0625,0.0625,180.0,0.0,0.0,1.0,Regional,2.0,1.0,0.0,2.0,2.0,7754.0,1013.925144,6.0,1055.124031,969.7058819,1096.6751809999998,8395.0,valid,21.44133412745682,31.25,middle_4_7,296,486
203011035,Golden Plains - South,27.0,875.7895139399467,0.3333333333333333,0.14814814814814814,0.14814814814814814,95.0,0.0,0.0,0.0,Regional,1.0,5.0,1.0,2.0,9.0,8111.0,1002.14548,6.0,1043.310385,977.3340257,1076.4171469999999,8954.0,valid,30.154121063211974,33.33333333333333,middle_4_7,222,478
203011036,Winchelsea,39.0,13543.72373335899,0.0,0.07272727272727272,0.07272727272727272,100.0,0.0,0.0,0.0,Regional,7.0,4.0,1.0,2.0,13.0,6614.0,1025.7196809999998,7.0,1054.023134,1020.227292,1072.7189990000002,7079.0,valid,55.09252719310637,0.0,middle_4_7,100,510
207011150,Glen Iris - East,41.0,97.42663573253182,0.926829268292683,0.0975609756097561,0.0975609756097561,80.0,2.0,4.0,18.0,Metro,11.0,2.0,0.0,5.0,10.0,16829.0,1154.928153,10.0,1116.466336,1162.933508,1098.913382,17650.0,valid,23.229461756373937,92.6829268292683,high_8_10,280,172
203021037,Belmont,51.0,110.58420156629074,0.8245614035087719,0.08771929824561403,0.08771929824561403,80.0,2.0,4.0,12.0,Regional,15.0,4.0,2.0,5.0,14.0,15017.0,995.2378865,5.0,1013.744596,1021.37049,958.3426512999999,15227.0,valid,33.49313719051685,82.45614035087719,middle_4_7,203,282
203021039,Geelong,244.0,171.40706338132298,0.8471760797342193,0.4019933554817276,0.4019933554817276,140.0,1.0,4.0,20.0,Regional,83.0,35.0,39.0,9.0,43.0,13504.0,1014.205833,6.0,1016.317519,1044.781608,953.2125398,13719.0,valid,177.8555288286318,84.71760797342192,middle_4_7,14,264
207011152,Hawthorn East,91.0,103.24164034910679,0.945054945054945,0.31868131868131866,0.31868131868131866,100.0,4.0,14.0,31.0,Metro,44.0,8.0,9.0,8.0,12.0,15684.0,1131.806476,10.0,1091.2995310000001,1164.2469740000001,1013.994662,17541.0,valid,51.878456188358705,94.5054945054945,high_8_10,109,151
203021040,Geelong West - Hamlyn Heights,82.0,110.4025684975255,0.8658536585365854,0.17073170731707318,0.17073170731707318,86.0,2.0,5.0,18.0,Regional,27.0,9.0,11.0,12.0,13.0,21200.0,1022.381816,7.0,1032.798293,1038.42048,978.9402247,22415.0,valid,36.58264554985501,86.58536585365853,middle_4_7,177,248
207011154,Kew East,23.0,87.86926147018407,0.8260869565217391,0.08695652173913043,0.08695652173913043,79.5,3.0,6.0,23.0,Metro,8.0,0.0,1.0,1.0,9.0,6482.0,1122.332717,10.0,1087.164618,1137.907019,1065.210689,6759.0,valid,34.0287024707797,82.6086956521739,high_8_10,196,281
203021042,Highton,28.0,178.57479878072195,0.71875,0.0625,0.0625,150.0,1.0,2.0,8.0,Regional,5.0,0.0,3.0,5.0,8.0,24034.0,1069.858943,8.0,1077.423858,1076.8545159999999,1060.004755,25794.0,valid,10.85523765216717,71.875,high_8_10,418,347
203021043,Lara,32.0,304.1183161040687,0.5526315789473685,0.05263157894736842,0.05263157894736842,300.0,0.0,4.0,8.0,Regional,6.0,1.0,1.0,4.0,8.0,20817.0,993.8186843,5.0,1026.60442,964.2007962,1042.083219,23952.0,valid,13.360053440213761,55.26315789473685,middle_4_7,375,412
203021044,Leopold,18.0,230.45145132643916,0.8333333333333334,0.1111111111111111,0.1111111111111111,87.5,0.5,5.0,6.0,Regional,6.0,0.0,1.0,5.0,4.0,13272.0,982.6745151,5.0,1025.5678990000001,964.2653387,1029.268319,13869.0,valid,12.978585334198572,83.33333333333334,middle_4_7,381,275
