sa2_code_2021,sa2_name_2021,venue_count,venue_count_per_10000_residents,share_within_400m_pt,access_share_pct,late_night_share,median_nearest_stop_distance_m,irsad_score,irsad_aus_decile,seifa_decile_group,population_2025,population_density_denominator_status,metro_regional_majority
204031073,West Wodonga,17.0,10.971281058405939,0.8333333333333334,83.33333333333334,0.16666666666666666,118.49299016326965,930.8791209999999,3.0,low_1_3,15495.0,valid,Regional
204031075,Yackandandah,21.0,38.195707530010914,0.42857142857142855,42.857142857142854,0.19047619047619047,574.8365368035995,1032.317063,7.0,middle_4_7,5498.0,valid,Regional
204031491,Baranduda - Leneva,12.0,8.23158183564275,0.3333333333333333,33.33333333333333,0.16666666666666666,977.2950768823725,1025.05583,7.0,middle_4_7,14578.0,valid,Regional
204031492,Wodonga,59.0,40.289538377492484,0.847457627118644,84.7457627118644,0.22033898305084745,180.32465420315572,900.4868431,2.0,low_1_3,14644.0,valid,Regional
205031089,Korumburra,46.0,45.967822524233036,0.6363636363636364,63.63636363636363,0.2,196.2777848545441,966.4582334,4.0,middle_4_7,10007.0,valid,Regional
205031090,Leongatha,44.0,37.61005214120865,0.55,55.00000000000001,0.15,358.43786458860677,962.5070870999999,4.0,middle_4_7,11699.0,valid,Regional
205031091,Phillip Island,105.0,70.96992227103752,0.4838709677419355,48.38709677419355,0.1693548387096774,401.2290551373392,970.6076493,4.0,middle_4_7,14795.0,valid,Regional
205031092,Wilsons Promontory,0.0,0.0,,,,,,,,15.0,valid,
205031093,Wonthaggi - Inverloch,104.0,35.454948351685815,0.6433566433566433,64.33566433566433,0.1958041958041958,262.9529825069618,950.4748959,4.0,middle_4_7,29333.0,valid,Regional
205041094,Churchill,22.0,17.849898580121703,0.5,50.0,0.22727272727272727,394.45030210670836,941.9113001,3.0,low_1_3,12325.0,valid,Regional
205041095,Moe - Newborough,42.0,23.80952380952381,0.8604651162790697,86.04651162790698,0.16279069767441862,140.59109316951668,861.4590609999999,1.0,low_1_3,17640.0,valid,Regional
206011107,Brunswick West,29.0,18.138603952964726,1.0,100.0,0.21052631578947367,48.54683534174517,1073.290961,8.0,high_8_10,15988.0,valid,Metro
206011109,Pascoe Vale South,18.0,16.503163106262033,0.9090909090909091,90.9090909090909,0.045454545454545456,59.767999457631625,1076.0488950000001,9.0,high_8_10,10907.0,valid,Metro
206011495,Brunswick - North,73.0,47.853162897410684,1.0,100.0,0.273972602739726,72.14270889901184,1096.7223809999998,9.0,high_8_10,15255.0,valid,Metro
206011496,Brunswick - South,139.0,90.45945594168944,1.0,100.0,0.4444444444444444,95.34286025194216,1115.544453,10.0,high_8_10,15366.0,valid,Metro
206011497,Coburg - East,65.0,44.96091858615204,1.0,100.0,0.35294117647058826,84.69964084325935,1060.298392,8.0,high_8_10,14457.0,valid,Metro
206011498,Coburg - West,14.0,9.340182800720529,0.9333333333333333,93.33333333333333,0.06666666666666667,62.10156445558138,1068.173297,8.0,high_8_10,14989.0,valid,Metro
206021110,Alphington - Fairfield,55.0,56.416042671043186,1.0,100.0,0.3090909090909091,67.40918379970927,1106.553386,9.0,high_8_10,9749.0,valid,Metro
206021112,Thornbury,89.0,43.98537115745774,0.9550561797752809,95.50561797752809,0.4157303370786517,65.0867204842922,1082.61304,9.0,high_8_10,20234.0,valid,Metro
206021499,Northcote - East,59.0,36.946584006512616,1.0,100.0,0.22033898305084745,59.35309862672135,1112.3481359999998,10.0,high_8_10,15969.0,valid,Metro
206021500,Northcote - West,77.0,69.83493560674769,1.0,100.0,0.4155844155844156,57.096346351664856,1124.425282,10.0,high_8_10,11026.0,valid,Metro
206031113,Ascot Vale,58.0,35.37016709354799,0.8974358974358975,89.74358974358975,0.2948717948717949,85.7069480668984,1061.952632,8.0,high_8_10,16398.0,valid,Metro
206031115,Flemington,19.0,19.124308002013084,1.0,100.0,0.047619047619047616,63.18530651326896,996.8158019,6.0,middle_4_7,9935.0,valid,Metro
206031116,Moonee Ponds,102.0,56.77706651822989,1.0,100.0,0.23148148148148148,151.88242231312051,1096.948468,9.0,high_8_10,17965.0,valid,Metro
206031501,Essendon (West) - Aberfeldie,46.0,26.87072843039897,0.9019607843137255,90.19607843137256,0.11764705882352941,82.84734432775467,1085.6825869999998,9.0,high_8_10,17119.0,valid,Metro
206031502,Essendon - East,52.0,39.40588056986966,1.0,100.0,0.25,73.75002843611668,1091.253336,9.0,high_8_10,13196.0,valid,Metro
206041117,Carlton,176.0,69.65607313887679,1.0,100.0,0.45454545454545453,90.09552191828661,1050.166907,8.0,high_8_10,25267.0,valid,Metro
206041118,Docklands,182.0,95.09378755420869,0.978021978021978,97.8021978021978,0.43956043956043955,124.1646849348344,1108.7903849999998,9.0,high_8_10,19139.0,valid,Metro
206041119,East Melbourne,65.0,123.92755004766444,0.9848484848484849,98.48484848484848,0.45454545454545453,124.23684907576417,1156.1699090000002,10.0,high_8_10,5245.0,valid,Metro
206041120,Flemington Racecourse,11.0,1410.2564102564102,1.0,100.0,0.18181818181818182,105.7753128848532,1133.226613,10.0,high_8_10,78.0,valid,Metro
206041121,Kensington (Vic.),45.0,36.22313450857281,0.8666666666666667,86.66666666666667,0.24444444444444444,94.30339362251117,1097.048049,9.0,high_8_10,12423.0,valid,Metro
206041124,Parkville,39.0,47.10144927536232,0.7692307692307693,76.92307692307693,0.15384615384615385,261.53735218533484,1102.1698529999999,9.0,high_8_10,8280.0,valid,Metro
206041125,South Yarra - West,35.0,50.76878445024659,0.9714285714285714,97.14285714285714,0.2857142857142857,107.03503909676068,1146.650124,10.0,high_8_10,6894.0,valid,Metro
206041127,West Melbourne - Industrial,2.0,,1.0,100.0,0.5,226.98217257995861,,,,0.0,zero_population,Metro
206041503,Melbourne CBD - East,590.0,413.57072760409363,1.0,100.0,0.6112,92.07806979547735,1078.587909,9.0,high_8_10,14266.0,valid,Metro
206041504,Melbourne CBD - North,223.0,91.78465591043793,1.0,100.0,0.57847533632287,81.57510982536292,1051.410079,8.0,high_8_10,24296.0,valid,Metro
206041505,Melbourne CBD - West,396.0,178.67617199837565,1.0,100.0,0.5885286783042394,89.91232591253446,1072.5532050000002,8.0,high_8_10,22163.0,valid,Metro
206041506,North Melbourne,100.0,51.85108368764907,1.0,100.0,0.30392156862745096,94.86383386822547,1055.7413,8.0,high_8_10,19286.0,valid,Metro
206041507,Royal Botanic Gardens Victoria,9.0,,0.6666666666666666,66.66666666666666,0.3333333333333333,356.9381747120744,,,,0.0,zero_population,Metro
206041508,Southbank (West) - South Wharf,124.0,152.67175572519082,0.9078947368421053,90.78947368421053,0.6513157894736842,199.3517057992493,1111.880625,10.0,high_8_10,8122.0,valid,Metro
206041509,Southbank - East,43.0,21.99263502454992,1.0,100.0,0.3488372093023256,130.43644790877127,1104.055357,9.0,high_8_10,19552.0,valid,Metro
206041510,West Melbourne - Residential,56.0,57.73791112485823,1.0,100.0,0.30357142857142855,81.44885829200979,1099.228945,9.0,high_8_10,9699.0,valid,Metro
206051128,Albert Park,115.0,66.65507447980062,0.9478260869565217,94.78260869565217,0.16521739130434782,110.6624752879893,1132.190499,10.0,high_8_10,17253.0,valid,Metro
206051129,Elwood,52.0,32.38664673642252,0.8947368421052632,89.47368421052632,0.19298245614035087,123.12574559946579,1116.926238,10.0,high_8_10,16056.0,valid,Metro
206051130,Port Melbourne,75.0,44.3079104389437,1.0,100.0,0.30666666666666664,139.25012355578127,1108.320296,9.0,high_8_10,16927.0,valid,Metro
206051134,St Kilda East,61.0,35.09781357882624,1.0,100.0,0.3548387096774194,73.98155673146495,1100.741364,9.0,high_8_10,17380.0,valid,Metro
206051511,Port Melbourne Industrial,59.0,187.42058449809403,0.7796610169491526,77.96610169491525,0.2711864406779661,280.9807550979595,1141.407468,10.0,high_8_10,3148.0,valid,Metro
206051512,South Melbourne,152.0,115.74779165397501,0.9868421052631579,98.68421052631578,0.3618421052631579,124.23402131264864,1093.8673809999998,9.0,high_8_10,13132.0,valid,Metro
206051513,St Kilda - Central,58.0,41.393091635740795,1.0,100.0,0.45454545454545453,71.0122988281498,1082.763242,9.0,high_8_10,14012.0,valid,Metro
206051514,St Kilda - West,174.0,106.76156583629894,0.9774011299435028,97.74011299435028,0.5310734463276836,79.7685925152054,1090.969375,9.0,high_8_10,16298.0,valid,Metro
206061135,Armadale,67.0,66.78628389154704,1.0,100.0,0.2835820895522388,45.814545839380536,1130.3043010000001,10.0,high_8_10,10032.0,valid,Metro
206061136,Prahran - Windsor,243.0,115.10041682455476,1.0,100.0,0.47368421052631576,78.52090114849665,1123.413072,10.0,high_8_10,21112.0,valid,Metro
206061138,Toorak,40.0,29.390154298310065,0.95,95.0,0.25,67.37010400104158,1149.721382,10.0,high_8_10,13610.0,valid,Metro
206061515,South Yarra - North,77.0,55.8821394876261,1.0,100.0,0.2,121.96807539004044,1142.23039,10.0,high_8_10,13779.0,valid,Metro
206061516,South Yarra - South,109.0,104.40613026819922,1.0,100.0,0.47863247863247865,83.68339035573581,1093.9409130000001,9.0,high_8_10,10440.0,valid,Metro
