sa2_code,sa2_name,region_type,active_venues_2023,active_venues_2025,venues_within_400m_pt_2023,total_venues_2023,access_rate_pct,venue_growth_rate_pct
201021011,Daylesford,Regional,124,115,64,124,51.6,-7.3
201011006,Delacombe,Regional,13,12,10,13,76.9,-7.7
205011076,Drouin,Regional,41,42,27,41,65.9,2.4
202011020,East Bendigo - Kennington,Regional,27,28,22,27,81.5,3.7
216011406,Echuca,Regional,74,73,64,74,86.5,-1.4
204011055,Euroa,Regional,40,40,12,40,30.0,0.0
202011021,Flora Hill - Spring Gully,Regional,11,11,11,11,100.0,0.0
205031087,Foster,Regional,70,65,27,70,38.6,-7.1
213041574,Fraser Rise - Plumpton,Regional,13,13,4,13,30.8,0.0
215031401,Gannawarra,Regional,37,34,24,37,64.9,-8.1
203021039,Geelong,Regional,241,241,217,241,90.0,0.0
203021040,Geelong West - Hamlyn Heights,Regional,90,84,86,90,95.6,-6.7
210021232,Gisborne,Regional,49,50,36,49,73.5,2.0
217011420,Glenelg (Vic.),Regional,41,39,12,41,29.3,-4.9
201031015,Golden Plains - North,Regional,11,12,7,11,63.6,9.1
203011035,Golden Plains - South,Regional,27,27,9,27,33.3,0.0
201021012,Gordon (Vic.),Regional,22,23,11,22,50.0,4.5
203021487,Grovedale - Mount Duneed,Regional,39,43,33,39,84.6,10.3
217011421,Hamilton (Vic.),Regional,59,61,52,59,88.1,3.4
202021029,Heathcote,Regional,59,61,21,59,35.6,3.4
203021042,Highton,Regional,28,27,21,28,75.0,-3.6
213041575,Hillside,Regional,10,9,10,10,100.0,-10.0
215011388,Horsham,Regional,68,63,62,68,91.2,-7.4
215011389,Horsham Surrounds,Regional,29,27,3,29,10.3,-6.9
215021395,Irymple,Regional,26,24,9,26,34.6,-7.7
202011022,Kangaroo Flat - Golden Square,Regional,40,38,39,40,97.5,-5.0
215031402,Kerang,Regional,17,17,3,17,17.6,0.0
216031593,Kialla,Regional,21,21,8,21,38.1,0.0
204011056,Kilmore - Broadford,Regional,46,43,24,46,52.2,-6.5
209031211,Kinglake,Regional,13,15,5,13,38.5,15.4
205031089,Korumburra,Regional,45,46,25,45,55.6,2.2
216011407,Kyabram,Regional,34,30,16,34,47.1,-11.8
202021030,Kyneton,Regional,67,69,49,67,73.1,3.0
205021084,Lakes Entrance,Regional,65,59,41,65,63.1,-9.2
203021043,Lara,Regional,35,32,22,35,62.9,-8.6
205031090,Leongatha,Regional,47,44,29,47,61.7,-6.4
203021044,Leopold,Regional,18,18,15,18,83.3,0.0
216011408,Lockington - Gunbower,Regional,18,21,4,18,22.2,16.7
202031033,Loddon,Regional,63,59,35,63,55.6,-6.3
205051100,Longford - Loch Sport,Regional,22,20,13,22,59.1,-9.1
203031049,Lorne - Anglesea,Regional,80,77,61,80,76.2,-3.8
210021233,Macedon,Regional,26,25,4,26,15.4,-3.8
205051101,Maffra,Regional,51,55,28,51,54.9,7.8
204011057,Mansfield (Vic.),Regional,130,122,30,130,23.1,-6.2
201031016,Maryborough (Vic.),Regional,32,28,31,32,96.9,-12.5
201031017,Maryborough Surrounds,Regional,26,24,11,26,42.3,-7.7
213041577,Melton,Regional,41,36,38,41,92.7,-12.2
213041578,Melton South - Weir Views,Regional,17,15,16,17,94.1,-11.8
213041358,Melton West,Regional,17,17,17,17,100.0,0.0
215021396,Merbein,Regional,14,14,8,14,57.1,0.0
215021469,Mildura - North,Regional,109,104,98,109,89.9,-4.6
215021470,Mildura - South,Regional,31,32,25,31,80.6,3.2
215021398,Mildura Surrounds,Regional,25,27,14,25,56.0,8.0
205041095,Moe - Newborough,Regional,42,42,38,42,90.5,0.0
216021412,Moira,Regional,19,20,9,19,47.4,5.3
216031415,Mooroopna,Regional,18,17,17,18,94.4,-5.6
205041096,Morwell,Regional,47,47,41,47,87.2,0.0
